Weights,PortfolioReturn,PortfolioVariance,SharpRatio
"[0.2, 0.05, 0.75]",-0.41748031046163186,112.62744801644122,-0.03933814491896154
"[0.2, 0.0, 0.8]",-0.378722444110724,128.1154344695547,-0.03345956700167454
"[0.15, 0.85, 0.0]",-0.998710279175512,0.13608678210530237,-2.7072698543934406
"[0.15, 0.8, 0.05]",-0.9599524128246042,0.6319090948766226,-1.207598045654208
"[0.15, 0.75, 0.1]",-0.9211945464736961,2.127132334111171,-0.631617426224788
"[0.15, 0.7, 0.15]",-0.8824366801227883,4.621756499808947,-0.4104686771596086
"[0.15, 0.65, 0.2]",-0.8436788137718805,8.115781591969952,-0.29615015744505646
"[0.15, 0.6, 0.25]",-0.8049209474209724,12.609207610594185,-0.22667797902545572
"[0.15, 0.55, 0.3]",-0.7661630810700646,18.102034555681644,-0.1800767011228237
"[0.15, 0.5, 0.35]",-0.7274052147191568,24.59426242723233,-0.14667615230749417
"[0.15, 0.45, 0.4]",-0.6886473483682488,32.08589122524625,-0.12157375370173099
"[0.15, 0.4, 0.45]",-0.6498894820173409,40.5769209497234,-0.10202344022754752
"[0.15, 0.35, 0.5]",-0.611131615666433,50.06735160066377,-0.08636891065955454
"[0.15, 0.3, 0.55]",-0.5723737493155251,60.55718317806738,-0.07355240448300285
"[0.15, 0.25, 0.6]",-0.5336158829646171,72.04641568193419,-0.06286697418117408
"[0.15, 0.2, 0.65]",-0.4948580166137093,84.53504911226426,-0.05382229415986388
"[0.15, 0.15, 0.7]",-0.4561001502628014,98.02308346905753,-0.04606764753941227
"[0.15, 0.1, 0.75]",-0.4173422839118935,112.51051875231406,-0.03934556850792587
"[0.15, 0.05, 0.8]",-0.3785844175609856,127.99735496203381,-0.03346279685902828
"[0.15, 0.0, 0.85]",-0.33982655121007765,144.48359209821677,-0.02827144736016795
"[0.1, 0.9, 0.0]",-0.9985722526257736,0.06492331871584468,-3.919034965415404
"[0.1, 0.85, 0.05]",-0.9598143862748658,0.5595953880934287,-1.2830695306707343
"[0.1, 0.8, 0.1]",-0.9210565199239579,2.053668383934241,-0.6427189761331294
"[0.1, 0.75, 0.15]",-0.8822986535730499,4.547142306238281,-0.413757942401031
"[0.1, 0.7, 0.2]",-0.8435407872221421,8.04001715500555,-0.2974935806506024
"[0.1, 0.65, 0.25]",-0.8047829208712343,12.532292930236045,-0.22733352308061455
"[0.1, 0.6, 0.3]",-0.7660250545203262,18.02396963192977,-0.18043373988472428
"[0.1, 0.55, 0.35]",-0.7272671881694184,24.51504726008672,-0.14688506057954875
"[0.1, 0.5, 0.4]",-0.6885093218185105,32.00552581470691,-0.12170189519993217
"[0.1, 0.45, 0.45]",-0.6497514554676025,40.49540529579031,-0.10210438317520171
"[0.1, 0.4, 0.5]",-0.6109935891166947,49.98468570333695,-0.08642077777302952
"[0.1, 0.35, 0.55]",-0.5722357227657868,60.473367037346826,-0.0735856094101257
"[0.1, 0.3, 0.6]",-0.5334778564148788,71.9614492978199,-0.0628878064646825
"[0.1, 0.25, 0.65]",-0.49471999006397094,84.44893248475623,-0.05383470990648827
"[0.1, 0.2, 0.7]",-0.4559621237130631,97.93581659815577,-0.046074220176055794
"[0.1, 0.15, 0.75]",-0.41720425736215516,112.42210163801856,-0.03934801983420501
"[0.1, 0.1, 0.8]",-0.3784463910112472,127.90778760434458,-0.033462306625692835
"[0.1, 0.05, 0.85]",-0.3396885246603393,144.3928744971338,-0.028268840452218277
"[0.1, 0.0, 0.9]",-0.30093065830943144,161.87736231638627,-0.02365229982132171
"[0.05, 0.95, 0.0]",-0.9984342260760353,0.022272005158049904,-6.690210781465397
"[0.05, 0.9, 0.05]",-0.9596763597251274,0.5157938311418978,-1.3362469435901465
"[0.05, 0.85, 0.1]",-0.9209184933742195,2.0087165835889738,-0.6497733001926509
"[0.05, 0.8, 0.15]",-0.8821606270233117,4.501040262499277,-0.4158064495469349
"[0.05, 0.75, 0.2]",-0.8434027606724037,7.99276486787281,-0.29832283650710023
"[0.05, 0.7, 0.25]",-0.8046448943214959,12.48389039970957,-0.2277347404260913
"[0.05, 0.65, 0.3]",-0.7658870279705879,17.97441685800956,-0.18064972678160077
"[0.05, 0.6, 0.35]",-0.72712916161968,24.46434424277277,-0.14700928754474665
"[0.05, 0.55, 0.4]",-0.6883712952687722,31.95367255399922,-0.12177618432339159
"[0.05, 0.5, 0.45]",-0.6496134289178642,40.442401791688894,-0.1021495656619963
"[0.05, 0.45, 0.5]",-0.6108555625669563,49.93053195584179,-0.08644809679898575
"[0.05, 0.4, 0.55]",-0.5720976962160484,60.41806304645793,-0.07360152279937682
"[0.05, 0.35, 0.6]",-0.5333398298651405,71.90499506353727,-0.06289621161145237
"[0.05, 0.3, 0.65]",-0.49458196351423256,84.39132800707988,-0.05383805525232485
"[0.05, 0.25, 0.7]",-0.4558240971633247,97.87706187708567,-0.04607409553089457
"[0.05, 0.2, 0.75]",-0.4170662308124168,112.3621966735547,-0.03934548622488685
"[0.05, 0.15, 0.8]",-0.37830836446150884,127.846732396487,-0.033458088646712035
"[0.05, 0.1, 0.85]",-0.339550498110601,144.33066904588247,-0.02826344259775076
"[0.05, 0.05, 0.9]",-0.30079263175969306,161.8140066217412,-0.023646079088091118
"[0.05, 0.0, 0.95]",-0.2620347654087852,180.29674512406314,-0.019514838962507663
"[0.0, 1.0, 0.0]",-0.998296199526297,0.008132841431918085,-11.069761533935567
"[0.0, 0.95, 0.05]",-0.9595383331753891,0.5005044240220298,-1.3563081424501569
"[0.0, 0.9, 0.1]",-0.9207804668244811,1.9922769330753696,-0.6523508677179163
"[0.0, 0.85, 0.15]",-0.8820226004735733,4.483450368591937,-0.41655613024418986
"[0.0, 0.8, 0.2]",-0.8432647341226654,7.974024730571734,-0.2986243030052044
"[0.0, 0.75, 0.25]",-0.8045068677717575,12.464000019014756,-0.22787728440499644
"[0.0, 0.7, 0.3]",-0.7657490014208496,17.953376233921006,-0.18072297745189972
"[0.0, 0.65, 0.35]",-0.7269911350699417,24.442153375290484,-0.14704808822625628
"[0.0, 0.6, 0.4]",-0.6882332687190338,31.930331443123197,-0.12179625897946177
"[0.0, 0.55, 0.45]",-0.6494754023681258,40.41791043741914,-0.10215879909929498
"[0.0, 0.5, 0.5]",-0.6107175360172179,49.9048903581783,-0.08645076437204861
"[0.0, 0.45, 0.55]",-0.5719596696663101,60.391271205400706,-0.07360008585942683
"[0.0, 0.4, 0.6]",-0.5332018033154021,71.8770529790863,-0.06289215533112123
"[0.0, 0.35, 0.65]",-0.4944439369644943,84.36223567923516,-0.05383230991810216
