Date,Open,High,Low,Close,Adj Close,Volume
2021-06-16,0.006826,0.006881,0.006490,0.006517,0.006517,0
2021-06-17,0.006519,0.006717,0.006365,0.006469,0.006469,0
2021-06-18,0.006469,0.006492,0.005994,0.006083,0.006083,0
2021-06-19,0.006084,0.006198,0.005939,0.006051,0.006051,0
2021-06-20,0.006055,0.006464,0.005683,0.006073,0.006073,0
2021-06-21,0.006069,0.006073,0.005320,0.005376,0.005376,0
2021-06-22,0.005385,0.006498,0.004912,0.006494,0.006494,0
2021-06-23,0.006501,0.006951,0.006355,0.006751,0.006751,0
2021-06-24,0.006731,0.007645,0.006477,0.006936,0.006936,0
2021-06-25,0.006932,0.007573,0.005755,0.006014,0.006014,0
2021-06-26,0.006011,0.007456,0.005735,0.007383,0.007383,0
2021-06-27,0.007403,0.007971,0.007132,0.007958,0.007958,0
2021-06-28,0.007969,0.008269,0.007797,0.008269,0.008269,0
2021-06-29,0.008264,0.008988,0.008221,0.008622,0.008622,0
2021-06-30,0.008608,0.009503,0.008328,0.009459,0.009459,0
2021-07-01,0.009461,0.010818,0.008352,0.009390,0.009390,0
2021-07-02,0.009400,0.010180,0.008531,0.010170,0.010170,0
2021-07-03,0.010169,0.011493,0.010021,0.010748,0.010748,0
2021-07-04,0.010747,0.011055,0.009585,0.010584,0.010584,0
2021-07-05,0.010586,0.010710,0.008402,0.010147,0.010147,0
2021-07-06,0.010124,0.010512,0.010080,0.010261,0.010261,0
2021-07-07,0.010271,0.010499,0.010152,0.010152,0.010152,0
2021-07-08,0.010157,0.010310,0.009107,0.009197,0.009197,0
2021-07-09,0.009206,0.009532,0.009049,0.009482,0.009482,0
2021-07-10,0.009463,0.009579,0.009272,0.009382,0.009382,0
2021-07-11,0.009386,0.010030,0.009337,0.009928,0.009928,0
2021-07-12,0.009930,0.010032,0.009482,0.009616,0.009616,0
2021-07-13,0.009615,0.009665,0.009356,0.009482,0.009482,0
2021-07-14,0.009484,0.009588,0.009175,0.009518,0.009518,0
2021-07-15,0.009520,0.009872,0.009061,0.009830,0.009830,0
2021-07-16,0.009852,0.009988,0.009641,0.009743,0.009743,0
2021-07-17,0.009741,0.009802,0.009393,0.009458,0.009458,0
2021-07-18,0.009460,0.009720,0.009365,0.009536,0.009536,0
2021-07-19,0.009539,0.009566,0.009169,0.009245,0.009245,0
2021-07-20,0.009245,0.009302,0.008808,0.008944,0.008944,0
2021-07-21,0.008942,0.009826,0.008858,0.009633,0.009633,0
2021-07-22,0.009633,0.009773,0.009524,0.009697,0.009697,0
2021-07-23,0.009694,0.010068,0.009617,0.010068,0.010068,0
2021-07-24,0.010074,0.010347,0.009834,0.009939,0.009939,0
2021-07-25,0.009945,0.010256,0.009826,0.010252,0.010252,0
2021-07-26,0.010252,0.011391,0.009967,0.010091,0.010091,0
2021-07-27,0.010081,0.010636,0.009839,0.010636,0.010636,0
2021-07-28,0.010640,0.011020,0.010493,0.010805,0.010805,0
2021-07-29,0.010799,0.010960,0.010625,0.010797,0.010797,0
2021-07-30,0.010802,0.011379,0.010367,0.011375,0.011375,0
2021-07-31,0.011404,0.011404,0.010278,0.010427,0.010427,0
2021-08-01,0.010407,0.010635,0.007908,0.008014,0.008014,0
2021-08-02,0.007995,0.008084,0.007749,0.007835,0.007835,0
2021-08-03,0.007840,0.007950,0.007556,0.007627,0.007627,0
2021-08-04,0.007631,0.007989,0.007518,0.007954,0.007954,0
2021-08-05,0.007950,0.008682,0.007847,0.008583,0.008583,0
2021-08-06,0.008583,0.008649,0.007265,0.008148,0.008148,0
2021-08-07,0.008135,0.008491,0.008098,0.008489,0.008489,0
2021-08-08,0.008466,0.009056,0.008343,0.008751,0.008751,0
2021-08-09,0.008760,0.009291,0.008570,0.009257,0.009257,0
2021-08-10,0.009273,0.009328,0.008941,0.009112,0.009112,0
2021-08-11,0.009117,0.009347,0.009070,0.009132,0.009132,0
2021-08-12,0.009119,0.010042,0.009082,0.009775,0.009775,0
2021-08-13,0.009774,0.010263,0.008799,0.009088,0.009088,0
2021-08-14,0.009081,0.009455,0.008781,0.009414,0.009414,0
