time_period_start;time_period_end;time_open;time_close;rate_open;rate_high;rate_low;rate_close
2021-03-04T00:00:00.0000000Z;2021-03-05T00:00:00.0000000Z;2021-03-04T00:01:00.0000000Z;2021-03-04T23:59:00.0000000Z;0.22187798674786305;0.2359620795078472;0.1946132837928184;0.1999448285988895
2021-03-05T00:00:00.0000000Z;2021-03-06T00:00:00.0000000Z;2021-03-05T00:01:00.0000000Z;2021-03-05T23:59:00.0000000Z;0.19914820744815953;0.22323658294601248;0.18433135464991074;0.2147735806491978
2021-03-06T00:00:00.0000000Z;2021-03-07T00:00:00.0000000Z;2021-03-06T00:01:00.0000000Z;2021-03-06T23:59:00.0000000Z;0.21261819526511533;0.22917852096409164;0.20590356552726685;0.2127823559361048
2021-03-07T00:00:00.0000000Z;2021-03-08T00:00:00.0000000Z;2021-03-07T00:01:00.0000000Z;2021-03-07T23:59:00.0000000Z;0.21335618358124128;0.22219807156102542;0.20764001580841765;0.21200636860597094
2021-03-08T00:00:00.0000000Z;2021-03-09T00:00:00.0000000Z;2021-03-08T00:01:00.0000000Z;2021-03-08T23:59:00.0000000Z;0.21234348655791424;0.2214424772403994;0.2050015106902557;0.21698653137030413
2021-03-09T00:00:00.0000000Z;2021-03-10T00:00:00.0000000Z;2021-03-09T00:01:00.0000000Z;2021-03-09T23:59:00.0000000Z;0.21822346216623967;0.30358186444938323;0.2161451707893184;0.2988583765472015
2021-03-10T00:00:00.0000000Z;2021-03-11T00:00:00.0000000Z;2021-03-10T00:01:00.0000000Z;2021-03-10T23:59:00.0000000Z;0.3015469327787266;0.3405158268602685;0.28168092893466457;0.28772228601125505
2021-03-11T00:00:00.0000000Z;2021-03-12T00:00:00.0000000Z;2021-03-11T00:01:00.0000000Z;2021-03-11T23:59:00.0000000Z;0.28879809775023374;0.5361332146360956;0.2805645320270376;0.4107185508866834
2021-03-12T00:00:00.0000000Z;2021-03-13T00:00:00.0000000Z;2021-03-12T00:01:00.0000000Z;2021-03-12T23:59:00.0000000Z;0.41301807170484767;0.5085507503050762;0.3999353387668657;0.41352666133281124
2021-03-13T00:00:00.0000000Z;2021-03-14T00:00:00.0000000Z;2021-03-13T00:01:00.0000000Z;2021-03-13T23:59:00.0000000Z;0.41885736303688337;0.46687880595673537;0.41106398029646285;0.4250667328386448
2021-03-14T00:00:00.0000000Z;2021-03-15T00:00:00.0000000Z;2021-03-14T00:01:00.0000000Z;2021-03-14T23:59:00.0000000Z;0.4254799026899244;0.43754150307046435;0.37553381305927014;0.38194888839839286
2021-03-15T00:00:00.0000000Z;2021-03-16T00:00:00.0000000Z;2021-03-15T00:01:00.0000000Z;2021-03-15T23:59:00.0000000Z;0.383097808667806;0.4294026788009409;0.3793126791604196;0.39203643932229076
2021-03-16T00:00:00.0000000Z;2021-03-17T00:00:00.0000000Z;2021-03-16T00:01:00.0000000Z;2021-03-16T23:59:00.0000000Z;0.3918051204965198;0.3947909946889102;0.34751682951630014;0.372053064388675
2021-03-17T00:00:00.0000000Z;2021-03-18T00:00:00.0000000Z;2021-03-17T00:01:00.0000000Z;2021-03-17T23:59:00.0000000Z;0.3734277184453519;0.4252907716213866;0.37234912714391094;0.40337284591714184
2021-03-18T00:00:00.0000000Z;2021-03-19T00:00:00.0000000Z;2021-03-18T00:01:00.0000000Z;2021-03-18T23:59:00.0000000Z;0.4031392561719732;0.4369988966676991;0.3857839415606144;0.3894215848997719
2021-03-19T00:00:00.0000000Z;2021-03-20T00:00:00.0000000Z;2021-03-19T00:01:00.0000000Z;2021-03-19T23:59:00.0000000Z;0.39068489529089834;0.4230784328333922;0.37587736127246973;0.41276297269445894
2021-03-20T00:00:00.0000000Z;2021-03-21T00:00:00.0000000Z;2021-03-20T00:01:00.0000000Z;2021-03-20T23:59:00.0000000Z;0.40985594455542346;0.4203272380046866;0.3830925762169934;0.3836977184453553
2021-03-21T00:00:00.0000000Z;2021-03-22T00:00:00.0000000Z;2021-03-21T00:01:00.0000000Z;2021-03-21T23:59:00.0000000Z;0.3770672946387318;0.4003110632274406;0.3636557878249696;0.38052053782418827
2021-03-22T00:00:00.0000000Z;2021-03-23T00:00:00.0000000Z;2021-03-22T00:01:00.0000000Z;2021-03-22T23:59:00.0000000Z;0.3810263101825587;0.38349619944338637;0.3231044688581268;0.347613201509602
2021-03-23T00:00:00.0000000Z;2021-03-24T00:00:00.0000000Z;2021-03-23T00:00:00.0000000Z;2021-03-23T00:00:00.0000000Z;0.347613201509602;0.347613201509602;0.347613201509602;0.347613201509602
2021-03-24T00:00:00.0000000Z;2021-03-25T00:00:00.0000000Z;2021-03-24T00:01:00.0000000Z;2021-03-24T23:59:00.0000000Z;0.3292907528580653;0.37793527085192546;0.3058159037067182;0.32349327444553444
2021-03-25T00:00:00.0000000Z;2021-03-26T00:00:00.0000000Z;2021-03-25T00:01:00.0000000Z;2021-03-25T23:59:00.0000000Z;0.3202363395576743;0.3369766047437863;0.29898379480281545;0.3005530302078511
2021-03-26T00:00:00.0000000Z;2021-03-27T00:00:00.0000000Z;2021-03-26T00:01:00.0000000Z;2021-03-26T23:59:00.0000000Z;0.30074837707905916;0.34166354393363757;0.30074837707905916;0.33629331227810344
2021-03-27T00:00:00.0000000Z;2021-03-28T00:00:00.0000000Z;2021-03-27T00:01:00.0000000Z;2021-03-27T23:59:00.0000000Z;0.3380779116013997;0.3564346171518841;0.33107893251336074;0.33272464734550744
2021-03-28T00:00:00.0000000Z;2021-03-29T00:00:00.0000000Z;2021-03-28T00:01:00.0000000Z;2021-03-28T23:59:00.0000000Z;0.3329329024076005;0.3550383549422683;0.3284097460936851;0.3453174317716751
2021-03-29T00:00:00.0000000Z;2021-03-30T00:00:00.0000000Z;2021-03-29T00:01:00.0000000Z;2021-03-29T23:59:00.0000000Z;0.34768865764420426;0.4241787943816677;0.3367185764118222;0.38399779403817585
2021-03-30T00:00:00.0000000Z;2021-03-31T00:00:00.0000000Z;2021-03-30T00:01:00.0000000Z;2021-03-30T23:59:00.0000000Z;0.3861872627871982;0.3880168480820752;0.36062565685661385;0.3711590753299271
2021-03-31T00:00:00.0000000Z;2021-04-01T00:00:00.0000000Z;2021-03-31T00:01:00.0000000Z;2021-03-31T23:59:00.0000000Z;0.37300874768660175;0.38219064795537944;0.33767273339595205;0.35976507604284796
2021-04-01T00:00:00.0000000Z;2021-04-02T00:00:00.0000000Z;2021-04-01T00:01:00.0000000Z;2021-04-01T23:59:00.0000000Z;0.3633497780190985;0.37782604713453355;0.3522933870456974;0.3633778273293658
2021-04-02T00:00:00.0000000Z;2021-04-03T00:00:00.0000000Z;2021-04-02T00:01:00.0000000Z;2021-04-02T23:59:00.0000000Z;0.36429609253048345;0.39536873043402093;0.3577944133717921;0.3831354414581552
2021-04-03T00:00:00.0000000Z;2021-04-04T00:00:00.0000000Z;2021-04-03T00:01:00.0000000Z;2021-04-03T23:59:00.0000000Z;0.38471121365384947;0.39830495263956645;0.3508128262720092;0.3517797891901616
2021-04-04T00:00:00.0000000Z;2021-04-05T00:00:00.0000000Z;2021-04-04T00:01:00.0000000Z;2021-04-04T23:59:00.0000000Z;0.348506016667931;0.37214216139207185;0.34409598698008176;0.3611237760752382
2021-04-05T00:00:00.0000000Z;2021-04-06T00:00:00.0000000Z;2021-04-05T00:01:00.0000000Z;2021-04-05T23:59:00.0000000Z;0.3623269644717866;0.37057152955624295;0.3471715752197381;0.3697428727535632
2021-04-06T00:00:00.0000000Z;2021-04-07T00:00:00.0000000Z;2021-04-06T00:01:00.0000000Z;2021-04-06T23:59:00.0000000Z;0.37261989158400155;0.39057051939685283;0.3623179416618144;0.37431544161538
2021-04-07T00:00:00.0000000Z;2021-04-08T00:00:00.0000000Z;2021-04-07T00:01:00.0000000Z;2021-04-07T23:59:00.0000000Z;0.37531710862822854;0.3772990561459592;0.31551141135180577;0.3374862527599854
2021-04-08T00:00:00.0000000Z;2021-04-09T00:00:00.0000000Z;2021-04-08T00:01:00.0000000Z;2021-04-08T23:59:00.0000000Z;0.3422700747967489;0.3599256222029791;0.3367057399998992;0.3557792687334665
2021-04-09T00:00:00.0000000Z;2021-04-10T00:00:00.0000000Z;2021-04-09T00:01:00.0000000Z;2021-04-09T23:59:00.0000000Z;0.35685173392547626;0.3833650232962469;0.3499839399101486;0.36698486171271716
2021-04-10T00:00:00.0000000Z;2021-04-11T00:00:00.0000000Z;2021-04-10T00:01:00.0000000Z;2021-04-10T23:59:00.0000000Z;0.3670893310777952;0.37520837936745066;0.3487743736884608;0.3579418169071522
2021-04-11T00:00:00.0000000Z;2021-04-12T00:00:00.0000000Z;2021-04-11T00:01:00.0000000Z;2021-04-11T23:59:00.0000000Z;0.3589577621691865;0.3695759464446086;0.3508182829025479;0.3695759464446086
2021-04-12T00:00:00.0000000Z;2021-04-13T00:00:00.0000000Z;2021-04-12T00:01:00.0000000Z;2021-04-12T23:59:00.0000000Z;0.37086246458137234;0.3723967679855783;0.3508369729835255;0.35784619591580313
2021-04-13T00:00:00.0000000Z;2021-04-14T00:00:00.0000000Z;2021-04-13T00:01:00.0000000Z;2021-04-13T23:59:00.0000000Z;0.35892526515317874;0.4237396383853993;0.3575605564153935;0.4225121507540341
2021-04-14T00:00:00.0000000Z;2021-04-15T00:00:00.0000000Z;2021-04-14T00:01:00.0000000Z;2021-04-14T23:59:00.0000000Z;0.42624619563389915;0.44887643302163427;0.3708204397368084;0.41454337763522786
2021-04-15T00:00:00.0000000Z;2021-04-16T00:00:00.0000000Z;2021-04-15T00:01:00.0000000Z;2021-04-15T23:59:00.0000000Z;0.41861521366493576;0.459269315372992;0.4015517373624292;0.44275176527902865
2021-04-16T00:00:00.0000000Z;2021-04-17T00:00:00.0000000Z;2021-04-16T00:01:00.0000000Z;2021-04-16T23:59:00.0000000Z;0.4438945989809372;0.46768379363675444;0.4075159461082661;0.43518334865042907
2021-04-17T00:00:00.0000000Z;2021-04-18T00:00:00.0000000Z;2021-04-17T00:01:00.0000000Z;2021-04-17T23:59:00.0000000Z;0.4379642357064863;0.4389097351714164;0.4005769913438484;0.4042997991389286
